Number,Name,Page_Number,Current_Enhancement_Count, Max_Enhancement_Count, Update_Date, Description
01,archive_slot_01,1,15,50,2026-03-10,胸甲
02,archive_slot_02,1,15,50,2026-03-10,胸甲
03,archive_slot_03,1,15,50,2026-03-10,胸甲
04,archive_slot_04,1,15,50,2026-03-10,胸甲
05,archive_slot_05,1,15,50,2026-03-10,胸甲
06,archive_slot_06,1,15,50,2026-03-10,胸甲
07,archive_slot_07,1,15,50,2026-03-10,胸甲
08,archive_slot_08,1,15,50,2026-03-10,胸甲
09,archive_slot_09,1,15,50,2026-03-10,胸甲
10,archive_slot_10,1,15,50,2026-03-10,胸甲
11,archive_slot_11,1,15,50,2026-03-10,胸甲
12,archive_slot_12,1,15,50,2026-03-10,胸甲
13,archive_slot_13,2,15,50,2026-03-10,胸甲
14,archive_slot_14,2,15,50,2026-03-10,胸甲
15,archive_slot_15,2,15,50,2026-03-10,胸甲
